'Corners.fixed_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Corners.corners_pairwise_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Corners.corner_distinctness' depends on axioms: [propext, Classical.choice, Quot.sound]
'Gap.gap_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Identification.dodd_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Identification.identification' depends on axioms: [propext, Classical.choice, Quot.sound]
'Transfer.gauge_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Transfer.transfer_constant_in_G' depends on axioms: [propext, Classical.choice, Quot.sound]
'Scope.existence_selection_and_gauge_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Scope.value_depends_on_selection' depends on axioms: [propext, Classical.choice, Quot.sound]
'BettiParity.signed_eq_absolute' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddDivisors.pairCount_eq_dodd' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddDivisors.table' depends on axioms: [propext, Classical.choice, Quot.sound]
'TransitParity.H4.orbits_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
'TransitParity.H4.transit_parity' depends on axioms: [propext, Quot.sound]
'TransitParity.characterisation' depends on axioms: [propext, Classical.choice, Quot.sound]
'TransitParity.classical_sum_differs' depends on axioms: [propext, Classical.choice, Quot.sound]
'TransitParityExt.relative_alternation' depends on axioms: [propext, Classical.choice, Quot.sound]
'TransitParityExt.chi_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'TransitParityExt.chi_gamma12' depends on axioms: [propext, Classical.choice, Quot.sound]
'Witness.gap_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Witness.corners_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Witness.gap_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'Witness.gap_doubled' depends on axioms: [propext, Classical.choice, Quot.sound]
'Witness.value_depends_on_setting' depends on axioms: [propext, Classical.choice, Quot.sound]
